host mmap_min_addr=0x10000
Reserved 0x2c5000 bytes of guest address space
Relocating guest address space from 0x0000000000400000 to 0x400000
guest_base  0x0
start            end              size             prot
0000000000400000-00000000004c0000 00000000000c0000 r-x
00000000006bf000-00000000006c5000 0000000000006000 rw-
0000004000000000-0000004000001000 0000000000001000 ---
0000004000001000-0000004000801000 0000000000800000 rw-
start_brk   0x0000000000000000
end_code    0x00000000004bf629
start_code  0x0000000000400000
start_data  0x00000000006bfea0
end_data    0x00000000006c1c30
start_stack 0x00000040007ffe00
brk         0x00000000006c41c8
Trace 0x560def954130 [00000000004376a6] 
Trace 0x560def954170 [0000000000415a94] 
Trace 0x560def954200 [0000000000415aa0] 
Trace 0x560def954250 [0000000000415ab6] 
Trace 0x560def9542e0 [0000000000415aa8] 
Trace 0x560def954380 [0000000000415ab2] 
Trace 0x560def9542e0 [0000000000415aa8] 
Trace 0x560def954420 [0000000000415b58] 
Trace 0x560def9544c0 [0000000000415b62] 
Trace 0x560def954380 [0000000000415ab2] 
Trace 0x560def954560 [0000000000415abe] 
Trace 0x560def9545e0 [0000000000415acc] 
Trace 0x560def954670 [0000000000415ada] 
Trace 0x560def954720 [0000000000415e1e] 
Trace 0x560def953b90 [0000000000414a20] 
Trace 0x560def954790 [0000000000414a39] 
Trace 0x560def954830 [0000000000414a4d] 
Trace 0x560def9548d0 [0000000000414a69] 
Trace 0x560def9549c0 [0000000000414a72] 
Trace 0x560def954a20 [00000000004128d0] 
Trace 0x560def954b20 [00000000004128f0] 
Trace 0x560def954c00 [0000000000412989] 
Trace 0x560def954c90 [0000000000412992] 
Trace 0x560def954d60 [00000000004129b0] 
Trace 0x560def954de0 [0000000000412a34] 
Trace 0x560def954e40 [0000000000410cf0] 
Trace 0x560def954f50 [0000000000410ff0] 
Trace 0x560def955020 [0000000000411000] 
Trace 0x560def955020 [0000000000411000] 
Trace 0x560def9550f0 [0000000000411017] 
Trace 0x560def955180 [00000000004111a1] 
Trace 0x560def9551e0 [000000000041102b] 
Trace 0x560def9552d0 [0000000000412a41] 
Trace 0x560def955520 [0000000000412b1e] 
Trace 0x560def9555c0 [0000000000412daf] 
Trace 0x560def955650 [0000000000412dbc] 
Trace 0x560def955780 [0000000000412df3] 
Trace 0x560def955820 [0000000000412dfb] 
Trace 0x560def9558b0 [0000000000412e0c] 
Trace 0x560def955950 [0000000000412e14] 
Trace 0x560def9559e0 [0000000000412e25] 
Trace 0x560def955a80 [0000000000412e2d] 
Trace 0x560def955b10 [0000000000412e3e] 
Trace 0x560def955b90 [0000000000412e50] 
Trace 0x560def955c40 [0000000000412e6d] 
Trace 0x560def955cc0 [0000000000413208] 
Trace 0x560def955da0 [00000000004133b0] 
Trace 0x560def955df0 [0000000000413275] 
Trace 0x560def955e90 [000000000041381e] 
Trace 0x560def955f10 [00000000004132aa] 
Trace 0x560def955fa0 [00000000004134a5] 
Trace 0x560def9560c0 [00000000004134ef] 
Trace 0x560def956120 [0000000000417230] 
Trace 0x560def951e10 [0000000000434f20] 
Trace 0x560def956190 [0000000000434f35] 
Trace 0x560def9521b0 [0000000000434f3f] 
Trace 0x560def951f40 [000000000045f070] 
Trace 0x560def951fa0 [000000000045f07c] 
Trace 0x560def9523d0 [0000000000434f55] 
Trace 0x560def956210 [0000000000417239] 
Trace 0x560def956290 [00000000004134fd] 
Trace 0x560def956340 [0000000000413518] 
Trace 0x560def9563d0 [000000000041353a] 
Trace 0x560def956460 [0000000000413546] 
Trace 0x560def956520 [00000000004135c7] 
Trace 0x560def9565b0 [00000000004135d4] 
Trace 0x560def956660 [00000000004135e3] 
Trace 0x560def9566e0 [00000000004135f7] 
Trace 0x560def956760 [0000000000413783] 
Trace 0x560def9567c0 [000000000041360f] 
Trace 0x560def9568b0 [000000000041363b] 
Trace 0x560def956120 [0000000000417230] 
Trace 0x560def951e10 [0000000000434f20] 
Trace 0x560def951f40 [000000000045f070] 
Trace 0x560def951fa0 [000000000045f07c] 
Trace 0x560def9523d0 [0000000000434f55] 
Trace 0x560def956210 [0000000000417239] 
Trace 0x560def956910 [0000000000413649] 
Trace 0x560def9569a0 [0000000000413657] 
Trace 0x560def956a30 [0000000000413667] 
Trace 0x560def956b10 [000000000041333b] 
Trace 0x560def956bb0 [0000000000413344] 
Trace 0x560def956c70 [000000000041335e] 
Trace 0x560def956d60 [0000000000413399] 
Trace 0x560def956de0 [00000000004129f3] 
Trace 0x560def956eb0 [0000000000414a7d] 
Trace 0x560def956f30 [0000000000414a85] 
Trace 0x560def956fc0 [0000000000414a99] 
Trace 0x560def957060 [0000000000414aa1] 
Trace 0x560def9570f0 [0000000000414aa9] 
Trace 0x560def957180 [0000000000414ab2] 
Trace 0x560def957210 [0000000000414abb] 
Trace 0x560def9572a0 [0000000000468503] 
Trace 0x560def957320 [000000000046850b] 
Trace 0x560def957380 [000000000041c7f0] 
Trace 0x560def957410 [000000000041c7f6] 
Trace 0x560def957490 [000000000041c7fb] 
Trace 0x560def957530 [000000000041c80b] 
Trace 0x560def9575e0 [000000000041c82a] 
Trace 0x560def957660 [000000000041c82f] 
Trace 0x560def957710 [000000000041c848] 
Trace 0x560def9577e0 [000000000041c86b] 
Trace 0x560def957820 [000000000046851c] 
Trace 0x560def9578d0 [0000000000437d3f] 
Trace 0x560def9579a0 [0000000000407750] 
Trace 0x560def957a70 [0000000000419840] 
